Prod_id,Prod_Brand,Prod_Name,Prod_Type,Gender,Category,Reg_Price,Disc_Price,Site_ID,Date,Image URL
413073,Calvin Klein,Eternity,3.4 oz Eau De Toilette Spray,Men,Colonge,$ 31.91,$ 27.12,Fragnancex,2019-09-11,https://www.fragrancex.com/products/_cid_cologne-am-lid_e-am-pid_352m__products.html?sid=METERN
547293,Calvin Klein,Eternity,3.3 oz Eau De Parfum Spray,Men,Colonge,$ 79.99,$ 67.99,Fragnancex,2019-09-11,https://www.fragrancex.com/products/_cid_cologne-am-lid_e-am-pid_352m__products.html?sid=METERN
